titulo,año,duracion,pais,directores,guionistas,musicos,fotografos,actores,productores,generos,nota,votos,votacion
Joker ,2019,121 min.,Estados Unidos,['Todd Phillips'],"['Todd Phillips', 'Scott Silver']",['Hildur Guðnadóttir'],['Lawrence Sher'],"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy', 'Brett Cullen', 'Bill Camp', 'Shea Whigham', 'Dante Pereira-Olson', 'Douglas Hodge', 'Jolie Chan', 'Bryan Callen', 'Brian Tyree Henry', 'Mary Kate Malat', 'Glenn Fleshler', 'Marc Maron', 'Josh Pais', 'Leigh Gill', 'Adrienne Lovette', 'Sharon Washington', 'Mandela Bellamy', 'David Iacono', 'Matthias Sebastiun Garry', ""Mick O'Rourke"", 'Evan Rosado', 'Caillou Pettis', 'Sondra James', 'Gary Gulman', 'Kim Brockington', 'Jamaal Burcher', 'John Cashin', 'Ryan Funigiello', 'Annie Pisapia', 'Ray Iannicelli', 'Tony D. Head', 'Scott Martin', 'Dj Nino Carta', 'Mark Lotito', 'Jason John Cicalese', 'Keith Buterbaught', 'Ray Rosario', 'Rose Maria Wilde', 'Ben Heyman', 'Emmanuel Rodriguez', 'Vincent Cucuzza', 'Celeste Pisapía', 'Marko Caka', 'Alexandra López Galán', 'Bob Leszczak', 'Rich Petrillo', 'Thomas W. Stewart']","['DC Comics', 'DC Entertainment', 'Warner Bros.', 'Village Roadshow', 'Bron Studios', 'Creative Wealth Media Finance', '22 & Indiana Pictures', 'Warner Bros.']","['Thriller', 'Drama', 'Crimen', 'DC Comics', 'Cómic', 'Payasos', 'Drama psicológico', 'Años 80']",8.0,69408.0,10
La ciudad de las estrellas (La La Land) ,2016,127 min.,Estados Unidos,['Damien Chazelle'],['Damien Chazelle'],['Justin Hurwitz'],['Linus Sandgren'],"['Emma Stone', 'Ryan Gosling', 'John Legend', 'Rosemarie Dewitt', 'J.K. Simmons', 'Finn Wittrock', 'Sonoya Mizuno', 'Jessica Rothe', 'Jason Fuchs', 'Callie Hernandez', 'Trevor Lissauer', 'Phillip E. Walker', 'Hemky Madera', 'Kaye L. Morris', 'Lexie Contursi']","['Summit Entertainment', 'Gilbert Films', 'Impostor Pictures', 'Marc Platt Productions']","['Musical', 'Romance', 'Comedia', 'Drama', 'Drama romántico', 'Música', 'Jazz', 'Cine dentro del cine']",7.5,58319.0,10
Halt and Catch Fire (Serie de TV),2014,60 min.,Estados Unidos,"['Christopher Cantwell', 'Christopher C. Rogers', 'Karyn Kusama', 'Juan José Campanella', 'Johan Renck', 'Ed Bianchi', 'Larysa Kondracki', 'Jon Amiel', 'Daisy von Scherler Mayer', 'Terry McDonough', 'Michael Morris', 'Kimberly Peirce', 'Jeff Freilich', 'Phil Abraham', 'Craig Zisk', 'Jake Paltrow', 'Tricia Brock', 'Reed Morano', 'Andrew McCarthy', 'Kim So-yong', 'Meera Menon', 'Stacie Passon']","['Christopher Cantwell', 'Christopher C. Rogers', 'Jason Cahill', 'Jonathan Lisco', 'Zack Whedon', 'Dahvi Waller', 'Jamie Pachino', 'Mark Lafferty', 'Alison Tatlock', 'Lisa Albert', 'Julia Cho', 'Angelina Burnett', 'Michael Saltzman']",['Paul Haslinger'],"['Nelson Cragg', 'Evans Brown', 'Jeff Jur']","['Lee Pace', 'Scoot McNairy', 'Mackenzie Davis', 'Kerry Bishé', 'Toby Huss', 'Aleksa Palladino', 'Annabeth Gish', 'Matthew Lillard', 'James Cromwell', 'Eric Goins', 'Bianca Malinowsk', 'Alana Cavanaugh', 'Scott Michael Foster', 'Morgan Hinkleman', 'August Emerson', 'Peter den Boer', 'Cooper Andrews', 'Gabriel Manak', 'Nick Pupo', ""Mark O'Brien"", 'Joshua Hoover', 'Kathryn Newton', 'Susanna Skaggs', 'J. Elijah Cho', 'Lily Donoghue', 'Chelsea Talmadge', 'Jona Xiao', ""Annette O'Toole"", 'Graham Beckel', 'Sasha Morfaw', 'Erin Cummings', 'Manish Dayal', 'Randy Havens', 'Charlie Bodin', 'Pete Burris', 'Anna Chlumsky', 'David Mackey']",['AMC Studios'],"['Serie de TV', 'Drama', 'Internet / Informática', 'Trabajo/empleo', 'Años 80', 'Años 90']",7.6,4517.0,10
BoJack Horseman (Serie de TV),2014,25 min.,Estados Unidos,"['Raphael Bob-Waksberg', 'JC Gonzalez', 'Amy Winfrey', 'Joel Moser', 'Martin Cendreda', 'Adam Parton', 'Mike Hollingsworth', 'Matt Mariska', 'Mike Roberts', 'Anne Walker Farrell', 'Aaron Long', 'Matt Garofalo', 'Otto Murga', 'Tim Rauch', 'Peter Merryman']","['Raphael Bob-Waksberg', 'Joe Lawson', 'Peter Knight', 'Elijah Aron', 'Jordan Young', 'Mehar Sethi', 'Vera Santamaria', 'Kate Purdy', 'Joanna Calo', 'Scott Chernoff', 'Alison Flierl', 'Kelly Galuska', 'Laura Gutin', 'Scott Marder', 'Caroline Williams', 'Alison Tafel', 'Nick Adams', 'Rachel Kaplan']","['Grouplove', 'Jesse Novak']","['ShadowMachine Films', 'Tornante Company', 'Netflix', 'Lisa Hanawalt', 'Netflix']",[],"['ShadowMachine Films', 'Tornante Company', 'Netflix', 'Lisa Hanawalt', 'Netflix']","['Serie de TV', 'Animación', 'Comedia', 'Drama', 'Comedia dramática', 'Comedia negra', 'Cine dentro del cine', 'Televisión', 'Animación para adultos', 'Caballos']",8.0,11520.0,10
It's Such a Beautiful Day (Película) ,2012,62 min.,Estados Unidos,['Don Hertzfeldt'],['Don Hertzfeldt'],['Varios'],['Don Hertzfeldt'],[],['Bitter Films'],"['Animación', 'Drama', 'Comedia dramática', 'Animación para adultos', 'Surrealismo', 'Cine experimental', 'Cine independiente USA', 'Enfermedad']",7.7,2781.0,10
Toy Story 3 ,2010,103 min.,Estados Unidos,['Lee Unkrich'],['Michael Arndt'],['Randy Newman'],"['Jeremy Lasky', 'Kim White']",[],"['Pixar Animation Studios', 'Walt Disney Pictures']","['Animación', 'Fantástico', 'Aventuras', 'Comedia', 'Infantil', 'Secuela', 'Muñecos', '3-D', 'Pixar', 'Cine familiar']",7.9,115948.0,10
Breaking Bad (Serie de TV),2008,45 min.,Estados Unidos,"['Vince Gilligan', 'Michelle MacLaren', 'Adam Bernstein', 'Vince Gilligan', 'Colin Bucksey', 'Michael Slovis', 'Bryan Cranston', 'Terry McDonough', 'Johan Renck', 'Rian Johnson', 'Scott Winant', 'Peter Gould', 'Tricia Brock', 'Bronwen Hughes', 'Tim Hunter', 'Jim McKay', 'Phil Abraham', 'John Dahl', 'Félix Enríquez Alcalá', 'Charles Haid', 'Peter Medak', 'John Shiban', 'David Slade', 'George Mastras', 'Thomas Schnauz', 'Sam Catlin']","['Vince Gilligan', 'Peter Gould', 'George Mastras', 'Sam Catlin', 'Moira Walley-Beckett', 'Thomas Schnauz', 'Gennifer Hutchison', 'John Shiban', 'J. Roberts', 'Patty Lin']",['Dave Porter'],"['Michael Slovis', 'Reynaldo Villalobos', 'Nelson Cragg', 'Peter Reniers']","['Bryan Cranston', 'Aaron Paul', 'Anna Gunn', 'Dean Norris', 'Betsy Brandt', 'RJ Mitte', 'Bob Odenkirk', 'Jonathan Banks', 'Giancarlo Esposito', 'Steven Michael Quezada', 'Jesse Plemons', 'Christopher Cousins', 'Laura Fraser', 'Matt Jones', 'Charles Baker', 'Michael Shamus Wiles', 'Lavell Crawford', 'Ray Campbell', 'Krysten Ritter', 'Ian Posada', 'Carmen Serano', 'Emily Rios', 'Tina Parker', 'Mark Margolis', 'Robert Forster', 'Caleb Landry Jones', 'Jeremiah Bitsui', 'David Costabile', 'Michael Bowen', 'Dale Dickey', 'Jere Burns', 'Steven Bauer', 'Daniel Moncada']","['Gran Via Productions', 'High Bridge Productions', 'Sony Pictures Television', 'AMC']","['Serie de TV', 'Thriller', 'Drama', 'Comedia negra', 'Drogas', 'Enfermedad', 'Policíaco']",8.8,102630.0,10
Mystic River ,2003,137 min.,Estados Unidos,['Clint Eastwood'],"['Brian Helgeland', 'Dennis Lehane']",['Clint Eastwood'],['Tom Stern'],"['Sean Penn', 'Tim Robbins', 'Kevin Bacon', 'Laurence Fishburne', 'Marcia Gay Harden', 'Laura Linney', 'Eli Wallach', 'Tom Guiry', 'Spencer Treat Clark', 'Emmy Rossum', 'Kevin Chapman', 'Adam Nelson', 'Cameron Bowen', 'Connor Paolo', 'John Doman']",['Warner Bros.'],"['Intriga', 'Drama', 'Crimen']",8.0,135926.0,10
Sleepy Hollow ,1999,105 min.,Estados Unidos,['Tim Burton'],"['Andrew Kevin Walker', 'Washington Irving']",['Danny Elfman'],['Emmanuel Lubezki'],"['Johnny Depp', 'Christina Ricci', 'Miranda Richardson', 'Michael Gambon', 'Casper Van Dien', 'Marc Pickering', 'Richard Griffiths', 'Ian McDiarmid', 'Jeffrey Jones', 'Christopher Walken', 'Michael Gough', 'Steven Waddington', 'Lisa Marie', 'Christopher Lee', 'Alun Armstrong', 'Claire Skinner', 'Martin Landau']","['Mandalay Pictures', 'Scott Rudin Productions', 'American Zoetrope']","['Intriga', 'Aventuras', 'Terror', 'Fantástico', 'Brujería', 'Fantasmas', 'Sobrenatural', 'Siglo XVIII']",6.9,85826.0,10
Titanic ,1997,195 min.,Estados Unidos,['James Cameron'],['James Cameron'],"['James Horner', 'Céline Dion', 'James Horner', 'Will Jennings']",['Russell Carpenter'],"['Leonardo DiCaprio', 'Kate Winslet', 'Billy Zane', 'Kathy Bates', 'Frances Fisher', 'Gloria Stuart', 'Bill Paxton', 'Bernard Hill', 'David Warner', 'Victor Garber', 'Jonathan Hyde', 'Suzy Amis', 'Danny Nucci', 'Jason Barry', 'Ewan Stewart', 'Ioan Gruffudd']","['Paramount Pictures', '20th Century Fox', 'Lightstorm Entertainment', 'James Cameron', '20th Century Fox']","['Romance', 'Drama', 'Aventuras', 'Drama romántico', 'Basado en hechos reales', '3-D', 'Catástrofes', 'Titanic', 'Cine épico']",6.8,180643.0,10
